Project/Case,Attempt,Passed,Failed,Errors,Pass Rate,Raw Summary
case_001_eval,Baseline,14,0,0,100.00%,14 passed in 0.11s
case_002_os_system,1/3,6,2,0,75.00%,"2 failed, 6 passed in 0.36s"
case_002_os_system,2/3,6,2,0,75.00%,"2 failed, 6 passed in 0.35s"
case_002_os_system,3/3,6,2,0,75.00%,"2 failed, 6 passed in 0.33s"
case_003_subprocess_shell,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.39s"
case_003_subprocess_shell,2/3,3,2,0,60.00%,"2 failed, 3 passed in 0.31s"
case_003_subprocess_shell,3/3,3,2,0,60.00%,"2 failed, 3 passed in 0.37s"
case_004,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.34s"
case_004,2/3,4,1,0,80.00%,"1 failed, 4 passed in 0.34s"
case_004,3/3,3,2,0,60.00%,"2 failed, 3 passed in 0.37s"
case_005,1/3,3,2,0,60.00%,"2 failed, 3 passed in 0.37s"
case_005,2/3,3,2,0,60.00%,"2 failed, 3 passed in 0.33s"
case_005,3/3,3,2,0,60.00%,"2 failed, 3 passed in 0.33s"
case_006_pickle_deserialize,1/3,8,2,0,80.00%,"2 failed, 8 passed in 0.22s"
case_006_pickle_deserialize,2/3,8,2,0,80.00%,"2 failed, 8 passed in 0.19s"
case_006_pickle_deserialize,3/3,8,2,0,80.00%,"2 failed, 8 passed in 0.19s"
case_007_random_module,Baseline,4,0,0,100.00%,4 passed in 0.07s
case_008,1/3,9,4,0,69.23%,"4 failed, 9 passed in 0.20s"
case_008,2/3,12,1,0,92.31%,"1 failed, 12 passed in 0.22s"
case_008,3/3,13,0,0,100.00%,13 passed in 0.07s
case_009_yaml_load,Baseline,6,0,0,100.00%,6 passed in 0.10s
case_010,1/3,8,2,0,80.00%,"2 failed, 8 passed in 0.22s"
case_010,2/3,3,7,0,30.00%,"7 failed, 3 passed in 0.24s"
case_010,3/3,9,1,0,90.00%,"1 failed, 9 passed in 0.23s"
case_011,1/3,2,5,0,28.57%,"5 failed, 2 passed in 0.20s"
